NDB_No,Shrt_Desc,Water_g,Energ_Kcal,Protein_g,Lipid_Tot_g,Ash_g,Carbohydrt_g,Fiber_TD_g,Sugar_Tot_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mg,Manganese_mg,Selenium_mcg,Vit_C_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,Panto_Acid_mg,Vit_B6_mg,Folate_Tot_mcg,Folic_Acid_mcg,Food_Folate_mcg,Folate_DFE_mcg,Choline_Tot_mg,Vit_B12_mcg,Vit_A_IU,Vit_A_RAE,Retinol_mcg,Alpha_Carot_mcg,Beta_Carot_mcg,Beta_Crypt_mcg,Lycopene_mcg,Lut_and_Zea_mcg,Vit_E_mg,Vit_D_mcg,Vit_D_IU,Vit_K_mcg,FA_Sat_g,FA_Mono_g,FA_Poly_g,Cholestrl_mg,GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
10218,"PORK,FRSH,LOIN,TENDERLOIN,LN&FAT,RAW",74.97,120,20.65,3.53,1.01,0,0,0,6,0.97,27,243,393,52,1.87,0.089,0.014,30.3,0,0.982,0.337,6.61,0.837,0.765,0,0,0,0,79.7,0.52,2,0,0,0,0,0,0,0,0.22,0.3,10,0,1.181,1.355,0.562,65,85,3 oz,505,"1 roast,  (Yield from 1 raw roast, with refuse, weighing 504g)",5
10219,"PORK,FRESH,GROUND,RAW",61.06,263,16.88,21.19,0.87,0,0,,14,0.88,19,175,287,56,2.2,0.045,0.01,24.6,0.7,0.732,0.235,4.338,0.668,0.383,5,0,5,5,,0.7,7,2,2,,,,,,,,,,7.87,9.44,1.91,72,28.35,1 oz,113,4 oz,0
10224,"PORK,FRSH,LOIN,TOP LOIN (ROASTS),BNLESS,LN&FAT,RAW",70.14,166,21.34,8.33,0.97,0,0,0,7,0.53,24,216,358,47,1.73,0.056,0.007,26.5,0,0.426,0.181,5.566,0.722,0.718,0,0,0,0,57.3,0.54,5,2,2,0,0,0,0,0,0.12,0.5,21,0,1.598,1.861,0.651,64,85,3 oz,2195,1 roast,16
10225,"PORK,FRSH,LOIN,TOP LOIN (ROASTS),BNLESS,LN,RAW",73.28,132,22.39,4.06,1.01,0,0,0,5,0.54,26,225,374,49,1.8,0.058,0.007,27.7,0,0.443,0.187,5.745,0.745,0.755,0,0,0,0,59.5,0.51,0,0,0,0,0,0,0,0,0.13,0.4,16,0,1.248,1.595,0.409,63,85,3 oz,2195,1 roast,16
10226,"PORK,FRSH,COMP OF RTL CUTS (LOIN & SHLDR BLADE),LN & FAT,RAW",69.13,177,20.08,10.14,0.95,0,0,0,16,0.74,23,205,345,54,2.01,0.07,0.01,31.6,0.1,0.582,0.238,5.452,0.903,0.625,1,0,1,1,50.7,0.64,7,2,2,0,0,0,0,0,0.16,0.5,22,0,3.106,3.768,1.122,65,28.35,1 oz,453.6,1 lb,22
10228,"PORK,FRSH,COMP OF RTL CUTS (LOIN&SHLDR BLADE),LN,RAW",72.23,144,21.23,5.88,1.05,0,0,,17,0.88,23,209,384,54,1.99,0.065,0.012,32.4,0.6,0.98,0.272,4.825,0.789,0.51,5,0,5,5,,0.66,7,2,2,,,,,,,,,,2.03,2.66,0.63,60,28.35,1 oz,453.6,1 lb,30
10942,"PORK,FRSH,COMP OF FAT,W/ ADDED SOLN,RAW",38.32,508,9.27,52.33,0.72,0,0,0,22,0.47,9,121,191,81,0.9,0.055,0.006,11.1,0,0.204,0.103,3.23,0.611,0.275,0,0,0,0,34.3,1.47,0,0,0,0,0,0,0,0,0.04,,,0,18.488,21.538,7.532,83,28.35,1 oz,453,1 lb,0
10944,"PORK,FRSH,ENHANCED,LOIN,TENDERLOIN,LN,RAW",76.91,106,20.39,2.09,1.56,0,0,0,4,0.92,23,290,527,243,1.73,0.103,0.011,35.2,0,0.757,0.337,6.45,0.824,0.756,0,0,0,0,78.7,0.5,0,0,0,0,0,0,0,0,0.21,0.2,8,0,0.671,0.762,0.352,48,85,3 oz,,,5
10949,"PORK,FRSH,LOIN,TP LN (CHPS),BNLSS,LN & FT,W/ ADDED SLN,RAW",68.65,171,19.45,10.26,1.55,0,0,0,9,0.42,21,244,489,251,1.22,0.049,0.01,42.8,0,0.475,0.195,7.178,0.731,0.467,0,0,0,0,53,0.56,0,0,0,0,0,0,0,0,0.2,0.3,12,0,2.53,5.801,1.925,56,146,1 chop,,,0
10951,"PORK,FRSH,LOIN,TENDERLOIN,LN & FAT,W/ ADDED SLN,RAW",76.1,114,20.16,3.14,1.54,0,0,0,5,0.91,23,286,519,239,1.72,0.102,0.01,34.7,0,0.745,0.333,6.382,0.819,0.746,0,0,0,0,77.7,0.52,0,0,0,0,0,0,0,0,0.21,0.2,8,0,1.045,1.198,0.503,49,85,3 oz,537,1 roast,3
10957,"PORK,LEG CAP STEAK,BNLESS,LN & FAT,RAW",75.18,123,21.64,3.39,1.02,0,0,0,7,0.84,22,207,365,73,3.18,0.057,0.009,25.2,0,0.525,0.423,7.092,0.802,0.553,1,0,1,1,71.9,0.64,0,0,0,0,0,0,0,0,0.08,,,0,1.187,1.688,0.509,63,85,3 oz,231,1 piece,0
10958,"PORK,SHLDR BREAST,BNLESS,LN & FAT,RAW",74.37,127,22.54,3.4,1.07,0,0,0,7,0.89,26,229,378,54,1.95,0.076,0.014,25.8,0,0.645,0.465,9.602,0.982,0.722,0,0,0,0,88.9,0.87,0,0,0,0,0,0,0,0,0.08,,,0,1.074,1.473,0.488,60,85,3 oz,430,1 piece,0
10961,"PORK,SHLDR PETITE TENDER,BNLESS,LN & FAT,RAW",74.57,128,21.65,3.91,1.08,0,0,0,6,1.07,24,229,391,50,2.16,0.09,0.011,21.5,0,0.831,0.6,5.312,0.982,0.65,2,0,2,2,84.6,0.59,0,0,0,0,0,0,0,0,0.08,,,0,1.012,1.324,0.469,66,105,1 piece,,,0
10963,"PORK,LEG SIRLOIN TIP RST,BNLESS,LN & FAT,RAW",75.88,113,22.88,1.71,1.11,0,0,0,5,0.8,25,232,399,50,2.05,0.067,0.009,26.4,0,0.654,0.357,7.183,0.9,0.689,0,0,0,0,79.9,0.53,0,0,0,0,0,0,0,0,0.08,,,0,0.524,0.687,0.323,62,85,3 oz,765,1 piece,0
10980,"PORK LOIN,FRSH,BACKRIBS,BONE-IN,RAW,LN",68.57,172,20.85,9.84,1.1,0,0,0,26,0.84,17,165,268,95,2.73,0.091,0.009,33.3,0,0.496,0.331,7.247,0.855,0.465,0,0,0,0,71.6,0.54,11,3,3,0,0,0,0,0,0.2,0.9,38,0,3.477,4.278,1.532,66,114,4 oz,1071,1 ribs,50
13000,"BEEF,GRASS-FED,STRIP STEAKS,LN,RAW",73.42,117,23.07,2.69,1.69,0,0,0,9,1.85,23,212,342,55,3.61,0.068,0.009,21.1,0,0.052,0.124,6.703,0.678,0.651,13,0,13,13,65.1,1.27,0,0,0,0,0,0,0,0,0.22,,,0.9,1.032,0.995,0.108,55,85,3 oz,214,1 steak,34
13019,"BEEF,RTL CUTS,FAT,RAW",20.21,674,8.21,70.89,0.28,0,0,0,26,0.72,5,61,96,26,0.82,0.028,0,6.6,0,0.03,0.037,1.437,0.163,0.108,0,0,0,0,,0.73,0,0,0,0,0,0,0,0,0,0.3,11,3.4,29.45,30.94,2.56,99,28.35,1 oz,113,4 oz,0
13023,"BEEF,BRISKET,WHL,LN,ALL GRDS,RAW",70.29,155,20.72,7.37,1.02,0,0,0,5,1.92,23,201,330,79,4.31,0.08,0.014,16.4,0,0.1,0.17,3.94,0.35,0.42,7,0,7,7,86.5,2.43,0,0,0,0,0,0,0,0,0.32,,,1.3,2.59,3.46,0.23,62,28.35,1 oz,453.6,1 lb,30
13047,"BEEF,GRASS-FED,GROUND,RAW",67.13,198,19.42,12.73,1.71,0,0,0,12,1.99,19,175,289,68,4.55,0.063,0.01,14.2,0,0.049,0.154,4.818,0.576,0.355,6,0,6,6,67.4,1.97,0,0,0,0,0,0,0,0,0.35,,,1.1,5.335,4.8,0.532,62,85,1 serving,,,0
13065,"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",69.46,165,21.22,8.29,1.02,0,0,0,27,1.55,22,193,330,54,3.81,0.071,0.013,23.3,0,0.056,0.09,6.842,0.619,0.571,12,0,12,12,88.6,1.18,0,0,0,0,0,0,0,0,0.33,0.1,4,1.3,3.443,3.38,0.335,68,28.35,1 oz,113,4 oz,0
13068,"BEEF,FLANK,STEAK,LN,0"" FAT,CHOIC,RAW",68.72,149,21.72,6.29,0.99,0,0,0,28,1.62,23,204,340,57,4.12,0.072,0.014,25.4,0,0.06,0.106,7.353,0.647,0.596,13,0,13,13,90.7,1.18,0,0,0,0,0,0,0,0,0.31,0.1,3,1.2,2.612,2.477,0.259,69,28.35,1 oz,202,1 steak,4
13095,"BEEF,RIB,EYE,SML END (RIBS 10-12),LN&FAT,0""FAT,CHOIC,RAW",58.03,274,17.51,22.07,0.85,0,0,,10,1.87,18,168,305,56,3.85,0.06,0.012,16.5,0,0.08,0.13,3.23,0.29,0.36,5,0,5,5,,3.11,0,0,0,,,,,,,,,,9.0,9.58,0.77,68,28.35,1 oz,453.6,1 lb,4
13097,"BEEF,RIB,EYE,SML END (RIBS 10-12),LN,0""FAT,CHOIC,RAW",68.7,161,20.13,8.3,1.01,0,0,,10,2.18,22,196,373,63,4.66,0.067,0.014,17.1,0,0.09,0.15,3.74,0.34,0.42,6,0,6,6,,3.57,0,0,0,,,,,,,,,,3.23,3.56,0.27,59,28.35,1 oz,453.6,1 lb,25
13147,"BEEF,RIB,SHORTRIBS,LN&FAT,CHOIC,RAW",48.29,388,14.4,36.23,0.68,0,0,,9,1.55,14,137,232,49,3.16,0.053,0.011,14.2,0,0.071,0.118,2.556,0.241,0.3,5,0,5,5,,2.56,0,0,0,,,,,,,,,,15.76,16.39,1.32,76,28.35,1 oz,453.6,1 lb,27
13149,"BEEF,RIB,SHORTRIBS,LN ONLY,CHOIC,RAW",69.38,173,19.05,10.19,0.98,0,0,,8,2.16,22,190,357,65,4.78,0.069,0.014,14.4,0,0.094,0.154,3.412,0.32,0.39,6,0,6,6,,3.39,0,0,0,,,,,,,,,,4.33,4.38,0.38,59,28.35,1 oz,453.6,1 lb,59
13227,"BEEF,SHANK CROSSCUTS,LN,1/4""FAT,CHOIC,RAW",73.03,128,21.75,3.85,1.44,0,0,,20,2.32,14,204,387,63,6.94,0.071,0.014,17.7,0,0.1,0.22,5.74,0.35,0.47,8,0,8,8,,3.33,0,0,0,,,,,,,,,,1.28,1.76,0.15,39,28.35,1 oz,453.6,1 lb,40
13231,"BEEF,SHRT LOIN,PRTRHS STEAK,LN,1/8"" FAT,CHOIC,RAW",69.56,161,22.13,7.39,1.01,0,0,0,18,1.98,11,209,276,56,3.61,0.058,0.003,23,0,0.051,0.275,5.412,,0.647,3,0,3,3,54.4,1.93,0,0,0,0,0,0,0,0,0.13,0.1,3,1.3,2.894,3.3,0.399,59,85,3 oz,539,1 steak,35
13235,"BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8"" FAT,CHOIC,RAW",69.97,160,22.1,7.27,1,0,0,0,21,1.65,11,196,263,35,3.86,0.061,0.003,22.5,0,0.051,0.225,5.765,0.347,0.634,4,0,4,4,54.3,1.79,0,0,0,0,0,0,0,0,0.28,0.1,3,1.3,2.782,3.091,0.374,59,85,3 oz,461,1 steak,39
